"","CIlo","Probability","CIhi","Sp","Species","Age","Type"
"1",0.344413381968513,0.58646352545498,0.754614502074798,"1","bearded",0,"Survival"
"2",0.279048703218461,0.526683144244579,0.713440057310548,"1","bearded",1,"Survival"
"3",0.241750498214257,0.489202253301729,0.686697440598111,"1","bearded",2,"Survival"
"4",0.215685677055022,0.461138456627188,0.666183098383454,"1","bearded",3,"Survival"
"5",0.195375935747009,0.437980075773954,0.64919737419833,"1","bearded",4,"Survival"
"6",0.17827136970297,0.417456227300646,0.633886188443805,"1","bearded",5,"Survival"
"7",0.162939636508091,0.398165538187025,0.619238490740665,"1","bearded",6,"Survival"
"8",0.148489647408561,0.379128194119505,0.604488075954401,"1","bearded",7,"Survival"
"9",0.134352001436385,0.35961394642185,0.588999905515593,"1","bearded",8,"Survival"
"10",0.120189823070853,0.339075988153898,0.572298026992395,"1","bearded",9,"Survival"
"11",0.105862469595424,0.317132606684775,0.554286531652349,"1","bearded",10,"Survival"
"12",0.0914078949293585,0.293571722254759,0.534855423765585,"1","bearded",11,"Survival"
"13",0.0770245150647136,0.268364437669081,0.513273413078289,"1","bearded",12,"Survival"
"14",0.0630406060573046,0.241677471603294,0.489306189102777,"1","bearded",13,"Survival"
"15",0.0498651279287357,0.214213632231893,0.4627997706249,"1","bearded",14,"Survival"
"16",0.0378930418666827,0.186346658513328,0.43375984818771,"1","bearded",15,"Survival"
"17",0.0275290062944675,0.158480475980421,0.402334321527522,"1","bearded",16,"Survival"
"18",0.0190455666583221,0.131388364484753,0.368823494806107,"1","bearded",17,"Survival"
"19",0.0126276670097032,0.105661970021456,0.333680783405846,"1","bearded",18,"Survival"
"20",0.00788668460433928,0.0821404268975069,0.29750106996792,"1","bearded",19,"Survival"
"21",0.00461106288122868,0.0616065587059284,0.26099492924523,"1","bearded",20,"Survival"
"22",0.0025074140217426,0.0444217762034057,0.224948647995976,"1","bearded",21,"Survival"
"23",0.00125963208552786,0.0306809826783198,0.190172166673306,"1","bearded",22,"Survival"
"24",0.000580271707998367,0.0202204363926828,0.157439448153158,"1","bearded",23,"Survival"
"25",0.000238626797401769,0.0126660557426839,0.127427856136304,"1","bearded",24,"Survival"
